Item Name,Item ID,Category,Hyderabad,Mumbai,Bangalore,Chennai,Kolkata,Delhi,Bhopal,Guwahati,Price (INR),Total Quantity
Bosch Mobile Phone Model A,100001,Mobile Phones,100,80,50,70,120,160,250,120,15000,950
Bosch Mobile Phone Model B,100002,Mobile Phones,120,100,80,60,100,200,200,160,20000,1020
Bosch Mobile Phone Model C,100003,Mobile Phones,90,70,60,40,100,120,100,80,18000,660
Bosch Mobile Phone Model D,100004,Mobile Phones,150,120,100,80,120,200,150,120,22000,1040
Bosch Mobile Phone Model E,100005,Mobile Phones,80,60,50,40,60,80,100,40,17000,510
Bosch Laptop Model A,100006,Laptops,50,40,30,20,40,40,50,40,45000,310
Bosch Laptop Model B,100007,Laptops,80,60,50,40,60,120,100,40,50000,550
Bosch Laptop Model C,100008,Laptops,120,100,80,70,120,160,250,120,55000,1020
Bosch Laptop Model D,100009,Laptops,70,50,40,30,40,80,100,40,48000,450
Bosch Printer Model A,100010,Printers,150,120,100,90,160,280,300,200,10000,1400
Bosch Printer Model B,100011,Printers,50,40,30,20,40,80,50,40,12000,350
Bosch TV Model A,100012,TVs,100,80,60,50,80,120,150,80,30000,720
Bosch Washing Machine Model A,100013,Washing Machines,80,70,60,50,80,120,100,80,25000,640
Bosch Washing Machine Model B,100014,Washing Machines,100,90,80,70,120,200,200,120,27000,980
Bosch Electric Kettle,100015,Kitchen Appliances,200,180,150,120,200,320,300,160,1500,1630
Bosch Toaster,100016,Kitchen Appliances,180,150,120,100,160,240,200,120,2000,1270
Bosch Mixer Grinder,100017,Kitchen Appliances,120,100,90,80,140,240,250,160,3000,1180
Bosch Blender,100018,Kitchen Appliances,100,80,70,60,100,160,150,120,2500,840
Bosch Food Processor,100019,Kitchen Appliances,70,60,50,40,60,80,50,40,4000,450
Bosch Air Fryer,100020,Kitchen Appliances,60,50,40,30,40,40,50,40,6000,350
Bosch Coffee Maker,100021,Kitchen Appliances,80,70,60,50,80,120,100,80,3000,640
Bosch Dishwasher,100022,Kitchen Appliances,40,30,20,20,40,40,50,40,20000,280
